Video_Title,Video_Description,Upload_Date,Duration_Minutes,View_Count,Like_Count,Comment_Count,Channel_Subscriber_Count,Actual_Quality_Score
Learn Python in 10 Minutes!,Super fast Python tutorial for absolute beginners. No prior experience needed.,2023-01-15,10,980000,12000,800,150000,28
Complete Python Bootcamp 2024,Comprehensive Python course covering all fundamentals with projects and exercises.,2023-02-10,480,520000,41000,3200,210000,88
Machine Learning Crash Course,Everything about ML in 5 minutes. Covers neural nets deep learning and more!,2023-01-20,5,1200000,9500,600,300000,18
Deep Learning with PyTorch,Step by step PyTorch tutorial with real projects. Covers CNNs RNNs and transformers.,2023-03-05,360,280000,24000,1800,180000,85
Web Dev in 1 Hour,Full stack web development explained in just 60 minutes. HTML CSS JS React Node.,2023-01-25,60,870000,11000,750,220000,32
React JS Full Course,Complete React tutorial from scratch. Hooks state management routing and deployment.,2023-04-12,420,390000,35000,2700,195000,87
JavaScript for Beginners,Learn JavaScript basics with clear examples. Variables functions arrays and DOM.,2023-02-28,180,310000,28000,2100,160000,82
Become a Data Scientist Overnight!,Watch this and you will be job ready tomorrow. Covers pandas numpy sklearn.,2023-01-10,45,1500000,8000,400,400000,15
SQL Complete Tutorial,Learn SQL from zero to advanced. SELECT JOIN subqueries indexes and optimization.,2023-05-01,300,260000,22000,1600,140000,83
C++ in 20 Minutes,Learn entire C++ language in 20 minutes. Pointers memory classes templates all covered!,2023-01-08,20,1100000,7500,500,280000,12
Django REST API Tutorial,Build a complete REST API with Django. Authentication CRUD operations and deployment.,2023-06-15,240,180000,16000,1200,120000,80
Algorithms and Data Structures,Full course on sorting searching trees graphs. Explained with animations and code.,2023-03-20,540,220000,19000,1500,130000,89
Earn Money with AI Today,Use ChatGPT and AI tools to make passive income. No coding required!,2023-02-05,30,2000000,14000,900,500000,8
Docker for Developers,Complete Docker tutorial. Containers images volumes networking and docker compose.,2023-07-10,200,170000,15000,1100,115000,81
Kubernetes in 15 Minutes,Master Kubernetes in just 15 minutes. Pods deployments services ingress all here.,2023-01-30,15,950000,6000,350,240000,20
Git and GitHub Complete Guide,Everything about version control. Branching merging pull requests and workflows.,2023-04-25,220,240000,21000,1600,145000,84
Full Stack in 3 Days!,Become a full stack developer in 72 hours. Frontend backend database deployment.,2023-02-15,180,1300000,10000,650,350000,22
TypeScript Tutorial,Learn TypeScript from scratch. Types interfaces generics and React with TypeScript.,2023-05-18,280,195000,17500,1300,125000,79
Build Netflix Clone in 2 Hours,Copy Netflix UI using React and Firebase. Authentication and real time database.,2023-03-10,120,680000,18000,1400,190000,55
Operating Systems Fundamentals,Processes threads memory management file systems. Theory with practical examples.,2023-06-01,480,95000,9500,800,75000,91
Crack Any Coding Interview Tomorrow,Watch this one video and pass Google Amazon Microsoft interviews guaranteed.,2023-01-05,60,1800000,12000,700,450000,10
System Design for Beginners,How to design scalable systems. Load balancing caching databases and microservices.,2023-07-20,300,210000,19000,1400,140000,85
Pandas for Data Analysis,Complete pandas tutorial. DataFrames merging groupby pivot tables and visualization.,2023-04-08,260,205000,18500,1400,132000,83
Rust Programming Language,Introduction to Rust. Ownership borrowing lifetimes and building CLI applications.,2023-05-25,320,155000,14000,1050,102000,80
Secret Algorithm to Beat Leetcode,One trick to solve all leetcode problems. Dynamic programming made easy!,2023-02-20,40,1400000,9000,550,360000,14
Computer Networks Complete Course,OSI model TCP IP HTTP DNS. Explained with diagrams and wireshark demos.,2023-06-20,420,110000,10500,850,82000,90
Flutter App Development,Build cross platform mobile apps with Flutter and Dart. Full project included.,2023-07-05,350,160000,14500,1100,108000,78
AWS Cloud Practitioner,Complete AWS tutorial for cloud fundamentals. EC2 S3 Lambda RDS and IAM explained.,2023-05-10,380,145000,13000,1000,98000,82
Learn AI Without Math!,Artificial intelligence explained with zero math. Just concepts and buzzwords.,2023-01-28,25,1600000,11000,700,420000,16
Competitive Programming Roadmap,How to go from beginner to expert in competitive programming. Resources and strategy.,2023-03-28,90,130000,12000,950,88000,76
Design Patterns in Java,Gang of four patterns explained with real examples. Creational structural behavioral.,2023-06-10,400,105000,10000,800,78000,88
Make $10000 with Coding,How programmers make passive income with coding. Side hustles and freelancing tips.,2023-02-08,35,1900000,13000,800,480000,9
Linux Command Line Tutorial,Master the terminal. File system permissions scripting networking and package managers.,2023-04-15,280,185000,16500,1250,118000,81
Blockchain Explained Simply,How blockchain works. Bitcoin Ethereum smart contracts and NFTs for beginners.,2023-05-05,150,320000,15000,1100,175000,52
GraphQL API Tutorial,Build a GraphQL API with Node.js. Queries mutations subscriptions and Apollo client.,2023-07-15,230,125000,11500,880,85000,79
Become Programmer in 30 Days,Complete roadmap to become a programmer from zero. Day by day plan included.,2023-01-22,50,1700000,11500,750,430000,13
Redis Tutorial for Beginners,Caching with Redis. Strings hashes lists sets sorted sets and pub sub explained.,2023-06-25,180,115000,10500,820,80000,77
Object Oriented Programming,OOP concepts in Python. Classes objects inheritance polymorphism encapsulation.,2023-04-02,240,230000,20500,1550,148000,86
This One Line of Code Will Blow Your Mind,Crazy Python one liners that will make you look like a genius programmer.,2023-02-12,15,2100000,16000,1100,520000,11
Microservices Architecture,Building microservices with Spring Boot. Service discovery API gateway and Docker.,2023-07-25,350,105000,10000,780,76000,84
Learn Vue.js,Complete Vue 3 tutorial. Composition API state management with Pinia and routing.,2023-05-20,300,140000,12500,960,95000,78
